SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
Y9,SRTRANSFIN,BOND 10.15% PA SRN S-III,29/06/2020, , ,26/06/2020, , ,INTEREST PAYMENT         
YA,SREIBNPNCD,Uns Red NCD 9.12% Sr. IX,28/05/2020, , ,27/05/2020, , ,INTEREST PAYMENT         
YB,SRTRANSFIN,BOND 9.71% PA SRN S-V,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
YH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,26/06/2020, , ,25/06/2020, , ,INTEREST PAYMENT         
YH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,27/05/2020, , ,26/05/2020, , ,INTEREST PAYMENT         
YI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,27/05/2020, , ,26/05/2020, , ,INTEREST PAYMENT         
YI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,26/06/2020, , ,25/06/2020, , ,INTEREST PAYMENT         
YJ,SRTRANSFIN,Sec Red NCD 9.10% Sr. III,26/06/2020, , ,25/06/2020, , ,INTEREST PAYMENT         
YK,SRTRANSFIN,Sec Red NCD 9.30% Sr. IV,26/06/2020, , ,25/06/2020, , ,INTEREST PAYMENT         
YL,SRTRANSFIN,Sec Red NCD 9.40% Sr. V,26/06/2020, , ,25/06/2020, , ,INTEREST PAYMENT         
YO,SRTRANSFIN,Sec Red NCD 9.12% Sr. I,16/06/2020, , ,15/06/2020, , ,INTEREST PAYMENT         
YP,SRTRANSFIN,Sec Red NCD 9.30% Sr. II,16/06/2020, , ,15/06/2020, , ,INTEREST PAYMENT         
YV,SRTRANSFIN,Shriram Transport Finance,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
YW,SRTRANSFIN,Shriram Transport Finance,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
Z3,SRTRANSFIN,Sec Red NCD 9.12% Sr.I,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
Z4,SRTRANSFIN,Sec Red NCD 9.22% Sr.II,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
Z5,SRTRANSFIN,Sec Red NCD 9.31% Sr.III,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
ZD,SRTRANSFIN,Sec Red NCD 8.52% Sr.I,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
ZE,SRTRANSFIN,Sec Red NCD 8.66% Sr.II,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         
ZF,SRTRANSFIN,Sec Red NCD 8.75% Sr.III,15/06/2020, , ,12/06/2020, , ,INTEREST PAYMENT         

