MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NG,L&TFINANCE,SE RE NCD 9.35% SR.V OPII,      1066.00,      1066.00,      1067.00,      1060.00,      1066.00,                  1152281.80,1086, ,13,      1245.00,       825.00
N,NG,RECLTD,BOND8.86% PA TF TR II S3B,      1400.00,      1448.50,      1450.00,      1447.00,      1447.00,                    69558.00,48, ,8,      1463.00,      1225.27
N,NH,ECLFINANCE,SEC RED NCD SR. IV,       900.00,       750.00,      1000.00,       750.00,      1000.00,                    11500.00,15, ,2,      1050.00,       750.00
N,NH,IFCI,9.90 % SRNCD SR VI,      1000.81,      1001.00,      1002.50,       997.00,      1002.50,                     6002.00,6, ,4,      1072.00,       900.00
N,NH,IIFLFIN,UNSEC RED NCD 10.0% SR. V,       932.00,       944.00,       953.00,       921.00,       928.53,                   825858.55,889, ,30,      1005.00,       805.60
N,NH,RECLTD,7.43% TAX FREE TRI SR3B,      1252.20,      1280.00,      1280.00,      1280.00,      1280.00,                     5120.00,4, ,1,      1280.00,      1121.00
N,NI,ECLFINANCE,SEC RED NCD 9.65% SR. V,       750.00,       750.00,       750.00,       750.00,       750.00,                   112500.00,150, ,8,      1025.00,       690.10
N,NI,IRFC,TAX FREE  7.32% SR. 102 A,      1154.40,      1154.40,      1160.00,      1132.60,      1155.52,                   810591.10,702, ,10,      1160.00,      1051.10
N,NI,RECLTD,8.12/8.32% TAX FREE NCD,      1260.00,      1260.00,      1260.00,      1251.00,      1251.00,                  2551364.00,2025, ,5,      1264.90,      1106.00
N,NJ,ECLFINANCE,SEC RED NCD 9.43% SR. VI,       711.00,       711.00,       720.00,       711.00,       720.00,                   157229.00,219, ,9,       957.00,       601.30
N,NJ,IIFLFIN,SEC RED NCD SR. I,      1065.10,      1050.00,      1066.75,      1050.00,      1066.75,                   581580.00,546, ,7,      1073.99,       851.00
N,NK,ECLFINANCE,SEC RED NCD 9.85% SR. VII,       707.99,       700.00,       719.80,       700.00,       718.49,                   105449.80,148, ,5,      1030.00,       617.80
N,NL,IFCI,9.40 % SRNCD TR II SR III,       964.49,       960.50,       965.00,       958.00,       962.02,                   679396.50,707, ,14,      1045.00,       890.00
N,NL,TCFSL,SERENCD8.65%SR.IIICIII&IV,      1070.00,      1080.00,      1080.00,      1076.00,      1076.00,                    95804.00,89, ,5,      1080.00,       970.20
N,NM,ECLFINANCE,SEC RED NCD 10.20% SR. I,       837.00,       840.00,       849.00,       830.00,       830.00,                   218285.00,260, ,9,      1100.00,       721.01
