Sr.No,Symbol,Segment,Quantity Traded,Deliverable Quantity,% of Deliverable Quantity
915,MAZDA,EQ,2146,824,38.40
916,MCDOWELL-N,EQ,5628309,811209,14.41
917,MCL,SM,2400,1200,50.00
918,MCX,EQ,145884,66262,45.42
919,MEGASOFT,EQ,10535,7084,67.24
920,MEGH,EQ,509844,123229,24.17
921,MENONBE,EQ,15666,10277,65.60
922,METROPOLIS,EQ,52412,32603,62.21
923,MFSL,EQ,989345,212640,21.49
924,MGEL,SM,2000,2000,100.00
925,MGL,EQ,445497,152089,34.14
926,MHRIL,EQ,71397,26336,36.89
927,MIDHANI,EQ,764432,304866,39.88
928,MILTON,SM,4400,4400,100.00
929,MINDACORP,EQ,210233,108061,51.40
930,MINDAIND,EQ,62139,23326,37.54
931,MINDTECK,EQ,45383,43317,95.45
932,MINDTREE,EQ,873409,75524,8.65
933,MIRCELECTR,EQ,129343,93085,71.97
934,MIRZAINT,EQ,112859,57209,50.69
935,MITTAL,EQ,173334,39468,22.77
936,M&M,EQ,10016213,2984328,29.79
937,M&MFIN,EQ,19194337,4648347,24.22
938,M&MFIN,N2,1095,995,90.87
939,M&MFIN,N3,100,100,100.00
940,MMFL,EQ,12335,11034,89.45
941,MMP,EQ,846,796,94.09
942,MMTC,EQ,282761,130467,46.14
943,MOHITIND,EQ,1000,1000,100.00
944,MOHOTAIND,EQ,1980,1970,99.49
945,MOIL,EQ,163395,67907,41.56
946,MOLDTECH,EQ,6623,5685,85.84
947,MOLDTKPAC,EQ,23819,15522,65.17
948,MONTECARLO,EQ,16174,10807,66.82
949,MORARJEE,EQ,6283,5975,95.10
950,MOREPENLAB,EQ,357259,206837,57.90
951,MOTHERSUMI,EQ,8043543,1895726,23.57
952,MOTILALOFS,EQ,55619,27206,48.91
953,MOTOGENFIN,EQ,3062,2435,79.52
954,MPHASIS,EQ,85744,26872,31.34
955,MPSLTD,EQ,4570,3034,66.39
956,MRF,EQ,4097,497,12.13
957,MRO-TEK,EQ,100,100,100.00
958,MRPL,EQ,396895,154299,38.88
959,MSTCLTD,EQ,140068,51635,36.86
960,MTEDUCARE,EQ,18873,15313,81.14
961,MTNL,EQ,216526,168720,77.92
962,MUKANDLTD,EQ,23468,13859,59.05
963,MUKTAARTS,EQ,7890,4553,57.71
964,MUNJALAU,EQ,48656,28076,57.70
965,MUNJALSHOW,EQ,9044,4187,46.30
966,MURUDCERA,EQ,36633,23037,62.89
967,MUTHOOTCAP,EQ,19070,17575,92.16
968,MUTHOOTFIN,EQ,1959606,435147,22.21
969,N100,EQ,43312,29310,67.67
970,NABARD,N2,1762,1750,99.32
