SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
PARABDRUGS,BZ,PARABOLIC DRUGS LTD,L
PARSVNATH,BE,PARSVNATH DEVELOPER LTD,L
PENIND,EQ,PENNAR INDUSTRIES LTD,L
PPL,EQ,PRAKASH PIPES LIMITED,L
PRAENG,EQ,PRAJAY ENG. SYN. LTD.,L
PRAXIS,EQ,PRAXIS HOME RETAIL LTD,L
PUNJLLOYD,BZ,PUNJ LLOYD LIMITED,L
RAJRAYON,BZ,RAJ RAYON INDUSTRIES LTD,L
RANASUG,BE,RANA SUGARS LTD.,L
RCOM,BE,RELIANCE COMMUNICATIONS L,L
RELCAPITAL,BE,REL CAPITAL - DEPO. SETT.,L
RELINFRA,BE,RELIANCE INFRASTRUCTU LTD,L
RHFL,BE,RELIANCE HOME FINANCE LTD,L
RMCL,BE,RADHA MADHAV CO. LTD.,L
RMDRIP,SM,R M DRIP & SPRINK SYS LTD,L
RNAVAL,BE,RELIANCE NAVAL & ENGG LTD,L
ROLLT,BE,ROLLATAINERS LIMITED,L
RPOWER,EQ,RELIANCE POWER LTD.,L
RSSOFTWARE,EQ,R. S. SOFTWARE (INDIA) LI,L
RTNPOWER,EQ,RATTANINDIA POWER LIMITED,L
RUCHI,BE,RUCHI SOYA INDUSTRIES LTD,L
S&SPOWER,BE,S&S POWER SWITCHGEARS,L
SADBHAV,BE,SADBHAV ENGINEERING LTD,L
SADBHIN,EQ,SADBHAV INFRA PROJ LTD.,L
SAGARDEEP,BE,SAGARDEEP ALLOYS LIMITED,L
SAKUMA,EQ,SAKUMA EXPORTS LIMITED,L
SALSTEEL,BE,S.A.L. STEEL LTD.,L
SAMBHAAV,EQ,SAMBHAAV MEDIA LTD,L
SANWARIA,BE,SANWARIA CONSUMER LIMITED,L
SATHAISPAT,BE,SATHAVAHANA ISPAT LTD,L
SEAMECLTD,EQ,SEAMEC LIMITED,L
SECURCRED,SM,SECUR CREDENTIALS LIMITED,L
SEPOWER,BE,S.E. POWER LIMITED,L
SETUINFRA,BE,SETUBANDHAN INFRA LTD,L
SEYAIND,EQ,SEYA INDUSTRIES LIMITED,L
SHAHALLOYS,EQ,SHAH ALLOYS LIMITED,L
SHIRPUR-G,EQ,SHIRPUR GOLD REFINERY LTD,L
SHREERAMA,EQ,SHREE RAMA MULTI TECH LTD,L
SHRENIK,EQ,SHRENIK LIMITED,L
SHRIRAMEPC,EQ,SHRIRAM EPC LTD.,L
SICAL,BE,SICAL LOGISTICS LIMITED,L
SIMPLEXINF,EQ,SIMPLEX INFRASTRUCTURES L,L
SKIL,BE,SKIL INFRASTRUCTURE LTD.,L
SOBHA,EQ,SOBHA LIMITED,L
SORILINFRA,EQ,SORIL INFRA RESOURCES LTD,L
SPENTEX,BE,SPENTEX IND. LTD,L
SPMLINFRA,EQ,SPML INFRA LIMITED,L
SPTL,BE,SINTEX PLASTICS TECH LTD,L
SPYL,BE,SHEKHAWATI POLY-YARN LTD.,L
SSINFRA,SM,S S INFRA DEVP CONSL LTD,L
SUMEETINDS,EQ,SUMEET IND LIMITED,L
SUMIT,BE,SUMIT WOODS LIMITED,L
SUPREMEINF,BZ,SUPREME INFRA. LTD,L
SURYALAXMI,BE,SURYALAKSHMI COT MIL LTD,L
SUVEN,EQ,SUVEN LIFE SCIENCES LTD,L
TALWALKARS,BZ,TALWALKAR FITNESS LTD,L
TALWGYM,BZ,TALWALKARS HEALTHCLUB LTD,L
TCIFINANCE,EQ,TCI FINANCE LTD,L
THEMISMED,BE,THEMIS MEDICARE LTD.,L
THOMASCOTT,BE,THOMAS SCOTT (INDIA) LTD,L
TIJARIA,EQ,TIJARIA POLYPIPES LTD,L
TMRVL,BE,THE MANDHANA RET VENT LTD,L
TREJHARA,BE,TREJHARA SOLUTIONS LTD,L
TRIGYN,EQ,TRIGYN TECHNOLOGIES LTD,L
TVVISION,BE,TV VISION LIMITED,L
UNITECH,BZ,UNITECH LIMITED,L
UNITY,BZ,UNITY INFRAPROJECTS LTD,L
UTTAMSTL,BE,UTTAM GALVA STEELS LTD,L
UVSL,BE,UTTAM VALUE STEELS LTD,L
V2RETAIL,EQ,V2 RETAIL LIMITED,L
VARDMNPOLY,BE,VARDHMAN POLYTEX LTD.,L
VASCONEQ,EQ,VASCON ENGINEERS LTD,L
VASWANI,EQ,VASWANI IND LTD,L
VENUSREM,BE,VENUS REMEDIES LIMITED,L
VIDEOIND,BZ,VIDEOCON INDUSTRIES LIMIT,L
VIJIFIN,EQ,VIJI FINANCE LIMITED,L
VIKASMCORP,BE,VIKAS MULTICORP LIMITED,L
VIKASPROP,EQ,VIKAS PROP & GRANITE LTD,L
VIPULLTD,EQ,VIPUL LIMITED,L
VISASTEEL,BE,VISA STEEL LIMITED,L
VIVIMEDLAB,BE,VIVIMED LABS LIMITED,L
WALCHANNAG,BE,WALCHANDNAGAR INDUSTRIES,L
WFL,SM,WONDER FIBROMATS LIMITED,L
WINDMACHIN,BE,WINDSOR MACHINES LIMITED,L
WSTCSTPAPR,EQ,WEST COAST PAPER MILLS LT,L
ZENITHBIR,BE,ZENITH BIRLA (INDIA) LTD,L
ZENITHEXPO,EQ,ZENITH EXPORTS LTD,L
