MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,HEG,HEG LTD,       735.40,       735.40,       772.00,       735.40,       756.65,                118557472.55,157058,N, ,9278,      1897.00,       409.60
N,EQ,HEIDELBERG,HEIDELBERGCEMENT (I) LTD,       146.40,       145.95,       156.00,       145.95,       154.75,                 81520294.20,539229,N, ,12219,       217.75,       122.00
N,EQ,HERCULES,HERCULES HOI. LTD.,        63.55,        64.90,        64.90,        62.50,        64.00,                   887827.40,13949,N, ,467,       117.60,        46.00
N,EQ,HERITGFOOD,HERITAGE FOODS LTD,       234.35,       234.00,       239.90,       230.05,       232.20,                  4342718.95,18603,N, ,411,       495.05,       145.50
N,EQ,HESTERBIO,HESTER BIOSCIENCES LTD,      1116.00,      1116.05,      1129.40,      1110.00,      1121.35,                  9171099.35,8211,N, ,774,      2048.00,       864.00
N,EQ,HEXAWARE,HEXAWARE TECHNOLOGIES LTD,       240.05,       236.50,       238.75,       231.20,       235.10,                348008582.20,1481290,N, ,24175,       455.70,       202.25
N,EQ,HFCL,HFCL LIMITED,         9.15,         9.05,         9.40,         8.90,         9.10,                 22443557.00,2471253,N, ,3627,        22.45,         8.10
N,EQ,HGINFRA,H.G.INFRA ENGINEERING LTD,       157.25,       160.35,       160.45,       154.30,       156.70,                   708150.25,4503,N, ,369,       307.85,       126.35
N,EQ,HGS,HINDUJA GLOBAL SOLS. LTD.,       524.00,       534.00,       534.00,       514.95,       525.95,                  1382777.10,2630,N, ,135,      1009.90,       412.00
N,EQ,HIKAL,HIKAL LIMITED,       114.50,       114.50,       117.35,       111.20,       113.85,                 15256560.30,134010,N, ,2606,       180.70,        56.90
N,EQ,HIL,HIL LIMITED,       788.45,       785.05,       793.35,       780.00,       789.10,                  8346378.45,10608,N, ,1449,      2025.00,       518.30
N,EQ,HILTON,HILTON METAL FORGING LTD,         8.95,         8.55,         9.10,         8.55,         8.90,                     6338.85,720,N, ,11,        18.75,         6.20
N,EQ,HIMATSEIDE,HIMATSINGKA SEIDE LTD,        45.90,        46.15,        46.50,        45.20,        46.00,                  3516991.20,76670,N, ,576,       210.90,        42.95
N,EQ,HINDCOMPOS,HINDUSTAN COMPOSITES LTD.,       119.45,       126.75,       126.75,       117.45,       118.30,                   256377.05,2158,N, ,127,       253.80,        94.95
N,EQ,HINDCOPPER,HINDUSTAN COPPER LTD,        25.20,        25.30,        25.65,        24.85,        25.10,                  8106704.95,320558,N, ,1129,        51.00,        18.25
N,EQ,HINDMOTORS,HINDUSTAN MOTORS LIMITED,         3.80,         3.80,         3.80,         3.70,         3.70,                   249715.90,67076,N, ,220,         7.50,         2.60
N,EQ,HINDNATGLS,HIND NATL GLASS & IND LTD,        29.15,        31.45,        31.45,        27.30,        29.65,                   305638.65,10496,N, ,116,        79.00,        17.10
N,EQ,HINDOILEXP,HINDUSTAN OIL EXPLORATION,        39.70,        40.00,        40.20,        38.00,        39.75,                  4352079.05,109659,N, ,1215,       135.60,        31.00
N,EQ,HIRECT,HIND RECTIFIER LIMITED,       122.20,       122.90,       122.90,       118.00,       118.40,                   483187.75,4051,N, ,97,       269.00,        89.00
N,EQ,HISARMETAL,HISAR METAL IND. LIMITED,        53.20,        54.60,        63.50,        51.05,        56.35,                   430487.65,7675,N, ,98,        77.90,        35.20
N,EQ,HITECH,HI-TECH PIPES LIMITED,        74.50,        76.60,        81.95,        74.00,        81.10,                  1223804.95,15191,N, ,115,       329.00,        65.30
N,EQ,HITECHCORP,HITECH CORPORATION LTD,        59.00,        56.10,        63.40,        56.10,        60.90,                   109641.30,1848,N, ,57,       101.95,        40.05
N,EQ,HITECHGEAR,THE HI-TECH GEARS LIMITED,        83.50,        83.00,        85.00,        80.65,        81.50,                   259249.10,3192,N, ,136,       294.80,        63.10
N,EQ,HLVLTD,HLV LIMITED,         3.60,         3.70,         3.70,         3.55,         3.65,                   245142.15,68299,N, ,103,        10.75,         2.90
N,EQ,HMVL,HINDUSTAN MEDIA VENT LTD,        39.85,        39.80,        39.80,        38.95,        39.10,                   254165.20,6486,N, ,214,       111.05,        35.00
N,EQ,HNDFDS,HINDUSTAN FOODS LIMITED,       513.10,       525.20,       525.20,       506.95,       510.05,                   746875.40,1460,N, ,216,       759.95,       380.00
N,EQ,HONAUT,HONEYWELL AUTOMATION IND,     27032.35,     26975.15,     27248.00,     26750.05,     26796.20,                 25892481.55,961,N, ,660,     39524.95,     20148.60
N,EQ,HONDAPOWER,HONDA SIEL POWER PROD LTD,       798.00,       798.00,       808.85,       786.25,       791.90,                  1653573.50,2073,N, ,387,      1358.90,       726.00
N,EQ,HPL,HPL ELECTRIC & POWER LTD,        23.65,        23.65,        24.20,        23.50,        23.95,                   223472.30,9373,N, ,242,        69.00,        18.35
N,EQ,HSCL,HIMADRI SPECIALITY CHEM L,        43.50,        43.50,        45.00,        43.20,        43.75,                 14921971.00,340306,N, ,2458,       116.50,        27.20
N,EQ,HSIL,HSIL LIMITED,        48.50,        48.10,        49.65,        48.10,        48.95,                  1803427.35,37053,N, ,775,       303.25,        32.70
N,EQ,HUDCO,HSG & URBAN DEV CORPN LTD,        22.70,        22.75,        23.00,        22.40,        22.70,                 24622114.60,1088568,N, ,3662,        46.50,        18.00
N,EQ,IBREALEST,INDIABULLS REAL EST. LTD,        40.65,        40.10,        41.80,        40.10,        41.10,                 29292999.85,713222,N, ,4244,       144.70,        36.80
N,EQ,IBULISL,INDIABULLS INTEGR SER LTD,        35.00,        34.20,        35.45,        33.55,        33.90,                  4769046.35,139299,N, ,1203,       313.20,        33.55
N,E3,IBVENTURES,IBVENTURES RS.1.10 PD UP,        23.15,        22.80,        23.50,        21.40,        21.80,                  1085100.55,48752,N, ,227,       230.00,        12.10
N,EQ,IBVENTURES,INDIABULLS VENTURES LTD,        80.95,        79.95,        80.80,        76.95,        77.20,                 65468249.40,833413,N, ,10567,       358.90,        76.95
N,SM,ICEMAKE,ICE MAKE REFRIGERAT LTD,        34.50,        35.95,        35.95,        35.95,        35.95,                    71900.00,2000,N, ,1,        81.85,        25.65
N,EQ,ICIL,INDO COUNT INDUSTRIES LTD,        26.15,        26.75,        26.80,        24.85,        25.30,                  2280655.70,90273,N, ,360,        67.20,        22.10
N,EQ,ICRA,ICRA LIMITED,      2564.60,      2511.05,      2563.85,      2507.00,      2538.70,                   849077.20,335,N, ,111,      3289.85,      1950.00
N,EQ,IDBI,IDBI BANK LIMITED,        19.40,        19.35,        19.60,        19.20,        19.45,                 13259804.65,681835,N, ,2190,        41.00,        17.25
N,EQ,IDFC,IDFC LIMITED,        13.45,        13.45,        13.60,        13.45,        13.50,                 17939718.10,1325288,N, ,2797,        40.50,        13.25
N,EQ,IDFCFIRSTB,IDFC FIRST BANK LIMITED,        19.60,        19.50,        19.80,        19.00,        19.25,                573087360.05,29606544,N, ,70629,        47.95,        17.65
N,EQ,IEX,INDIAN ENERGY EXC LTD,       163.40,       164.80,       165.50,       163.00,       164.05,                 41080561.35,249754,N, ,5210,       203.90,       112.05
N,EQ,IFBAGRO,IFB AGRO INDUSTRIES LTD,       288.35,       288.00,       293.00,       282.50,       288.65,                   571977.75,1991,N, ,143,       477.70,       144.00
N,EQ,IFBIND,IFB INDUSTRIES LTD,       340.40,       332.00,       374.40,       332.00,       371.60,                 44437078.55,122606,N, ,4491,       873.20,       219.15
N,EQ,IFCI,IFCI LTD,         4.05,         4.00,         4.15,         4.00,         4.05,                  6715698.70,1643079,N, ,65438,        11.40,         3.10
N,EQ,IFGLEXPOR,IFGL REFRACTORIES LIMITED,        96.30,        96.30,        97.10,        92.00,        92.15,                   144414.85,1561,N, ,52,       229.80,        69.05
