Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume,VWAP
2019-10-11,TCS,1931.0,1995.0,1925.0,1986.85,12593069,6323332,1958.07
2019-10-14,TCS,1995.0,2032.75,1968.0,2021.0,3510704,1642252,2009.8
2019-10-15,TCS,2032.0,2047.0,2022.7,2037.3,2261310,1390076,2039.28
2019-10-16,TCS,2038.0,2056.0,2016.0,2046.4,3034082,1792942,2032.41
2019-10-17,TCS,2014.0,2038.0,1999.3,2030.95,3818774,2333221,2018.47
2019-10-18,TCS,2037.5,2063.9,2025.0,2057.35,3087901,1979438,2046.03
2019-10-22,TCS,2080.0,2111.5,2040.05,2051.4,5552505,3583843,2067.79
2019-10-23,TCS,2060.0,2083.85,2052.5,2070.1,2348134,1352785,2068.82
2019-10-24,TCS,2084.0,2099.0,2061.3,2082.0,2798671,1754891,2077.28
2019-10-25,TCS,2094.0,2130.0,2075.05,2124.95,3954245,2535407,2102.55
2019-10-27,TCS,2129.0,2129.0,2108.8,2115.7,224421,76692,2117.14
2019-10-29,TCS,2121.5,2201.7,2121.5,2194.85,5064173,3658144,2173.21
2019-10-30,TCS,2225.0,2260.0,2176.85,2252.8,5195136,3259740,2229.89
2019-10-31,TCS,2250.0,2284.95,2237.0,2269.65,4879261,2815579,2267.61
2019-11-01,TCS,2264.0,2275.0,2195.0,2200.9,4172620,2399676,2218.97
2019-11-04,TCS,2207.0,2229.2,2180.9,2193.95,2646411,1206343,2197.42
2019-11-05,TCS,2197.0,2211.0,2169.0,2201.85,2693475,1572121,2187.98
2019-11-06,TCS,2200.0,2210.8,2179.0,2188.5,2540719,1426496,2191.37
2019-11-07,TCS,2204.5,2204.5,2175.2,2185.35,1915598,1082863,2186.08
2019-11-08,TCS,2189.6,2189.6,2124.0,2129.95,2788759,1620822,2149.77
2019-11-11,TCS,2135.0,2139.0,2091.0,2100.95,2983768,1728479,2105.79
2019-11-13,TCS,2118.0,2183.8,2118.0,2178.6,3823365,1769830,2161.51
